,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentUID,AccidentType,AccidentType_de,AccidentType_fr,AccidentType_it,AccidentType_en,AccidentSeverityCategory_de,AccidentSeverityCategory_fr,AccidentSeverityCategory_it,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_fr,RoadType_it,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_fr,AccidentMonth_it,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_fr,AccidentWeekDay_it,AccidentWeekDay_en,AccidentHour,AccidentHour_text,geometry,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address,Street_Name,Zip_Codes
2008,891,Neptunstrasse,as1,Allschwil,1,A7914F66F2CD19F1E05329B9D80AC52D,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2709732,1267140,TG,4566,2020,5,Mai,mai,Maggio,May,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,6,06h-07h,,47.54581289,8.896305765,POINT (8.896305764590613 47.54581288758042),1267140,2609139,10110200,"47.54581288758042,8.896305764590613",, Buchs,5033
2009,892,Nesesrütti,as1,Matzendorf,1,B9F6541678E3FD9DE053DDB9D80ABD08,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2724673,1240009,SG,3379,2020,12,Dezember,décembre,Dicembre,December,aw406,Samstag,samedi,Sabato,Saturday,11,11h-12h,,47.29918128,9.087154849,POINT (9.087154849106732 47.29918127740218),1240009,2613447,10115814,"47.29918127740218,9.087154849106732",, Buchs,5033
2010,893,Neuwisenstrasse,as1,Schöfflisdorf,1,D69ED373D2490290E0430A839427E4C3,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2642627,1261039,AG,4165,2013,1,Januar,janvier,Gennaio,January,aw404,Donnerstag,jeudi,Giovedì,Thursday,22,22h-23h,,47.49872579,8.004351989,POINT (8.004351988925777 47.49872579114007),1261039,2673649,10193228,"47.49872579114007,8.004351988925777",, Buchs,5033
2011,894,Niederfeld,as1,Arbon,1,D7FF49CFAA5B0092E0430A839427B2E2,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2682236,1263284,ZH,53,2013,1,Januar,janvier,Gennaio,January,aw402,Dienstag,mardi,Martedì,Tuesday,12,12h-13h,,47.51515479,8.53039051,POINT (8.530390509836586 47.51515478988875),1263284,2748598,10027874,"47.51515478988875,8.530390509836586",, Buchs,5033
2012,895,Niederlaad,as1,Wattwil,1,07BF813BC0C0005AE0530A839427DF7A,at00,Andere,autres,Altri,Other,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2713987,1237175,ZH,120,2014,10,Oktober,octobre,Ottobre,October,aw404,Donnerstag,jeudi,Giovedì,Thursday,17,17h-18h,,47.2756286,8.945172759,POINT (8.945172758579481 47.27562859728593),1237175,2721605,10063277,"47.27562859728593,8.945172758579481",, Buchs,5033
2013,896,Ober Altösch,as1,Trub,1,E214CEF4F693023AE0430A839427EBB6,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2596838,1200161,BE,351,2013,5,Mai,mai,Maggio,May,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,22,22h-23h,,46.95252311,7.397094866,POINT (7.397094866422569 46.95252311490786),1200161,2636113,10067563,"46.952523114907855,7.397094866422569",, Buchs,5033
2014,898,Ober Geriwil,as1,Tafers,1,435E78E05B770196E0530A839427F075,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt431,Autostrasse,semi-autoroute,Semiautostrada,Expressway,2750975,1182949,GR,3637,2016,12,Dezember,décembre,Dicembre,December,aw404,Donnerstag,jeudi,Giovedì,Thursday,14,14h-15h,,46.78059644,9.415793518,POINT (9.4157935178266 46.78059643950619),1182949,2587349,10139250,"46.78059643950619,9.4157935178266",, Buchs,5033
2015,750,Oberrieterstrasse,as1,Eichberg,1,C193FF454FFB00AEE0430A839427DA9B,at1,Überholunfall oder Fahrstreifenwechsel,accident lors d'un dépassement ou lors d'un changement de voie de circulation,Incidente di sorpasso o al cambiamento di corsia,Accident when overtaking or changing lanes,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2582321,1245313,JU,6702,2012,5,Mai,mai,Maggio,May,aw404,Donnerstag,jeudi,Giovedì,Thursday,15,15h-16h,,47.35842375,7.204615733,POINT (7.204615733220018 47.35842375475301),1245313,2758181,10191797,"47.35842375475301,7.2046157332200185",, Buchs,5033
2016,899,Ober Hegen,as1,Sumiswald,1,605CBF2FB7DE01D6E0530A839427F4E1,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt430,Autobahn,autoroute,Autostrada,Motorway,2664972,1210733,LU,1061,2017,11,November,novembre,Novembre,November,aw407,Sonntag,dimanche,Domenica,Sunday,16,16h-17h,,47.04444762,8.293614523,POINT (8.293614523121875 47.04444761771749),1210733,2622447,10110130,"47.044447617717495,8.293614523121875",, Buchs,5033
2017,900,Ober Strahlegg,as1,Fideris,1,FCCDE8F7730E0088E0430A839427253C,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2628304,1198121,BE,902,2014,5,Mai,mai,Maggio,May,aw407,Sonntag,dimanche,Domenica,Sunday,19,19h-20h,,46.93358041,7.810317703,POINT (7.810317703020687 46.93358041328021),1198121,2776550,10197108,"46.93358041328021,7.8103177030206865",, Buchs,5033
2018,901,Ober Äbrüti,as1,Ebikon,1,271B8C91F2D300E0E0530A839427B85A,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2575306,1214946,BE,726,2015,7,Juli,juillet,Luglio,July,aw406,Samstag,samedi,Sabato,Saturday,17,17h-18h,,47.08505954,7.113434221,POINT (7.113434220912672 47.08505954170636),1214946,2670072,10065477,"47.085059541706364,7.113434220912672",, Buchs,5033
2019,902,Ober-Ifang,as1,Henggart,1,C50394988DF401E8E0430A839427A9EE,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2611945,1269241,BS,2701,2012,7,Juli,juillet,Luglio,July,aw401,Montag,lundi,Lunedí,Monday,15,15h-16h,,47.57376384,7.597373686,POINT (7.597373686426533 47.57376384309715),1269241,2693640,10111161,"47.57376384309715,7.597373686426533",, Buchs,5033
2020,903,Ober-Kanzelberg,as1,Willisau,1,6359B8230DB5013AE0530A83942792BF,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2639112,1212310,LU,1132,2018,1,Januar,janvier,Gennaio,January,aw407,Sonntag,dimanche,Domenica,Sunday,15,15h-16h,,47.06066138,7.953464907,POINT (7.95346490664362 47.06066138235246),1212310,2641904,10115447,"47.06066138235246,7.95346490664362",, Buchs,5033
2021,904,Ober-Lauftegg,as1,Urnäsch,1,462528E7A5F50044E0530A839427582D,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2654403,1241604,AG,4134,2016,12,Dezember,décembre,Dicembre,December,aw405,Freitag,vendredi,Venerdì,Friday,16,16h-17h,,47.32306326,8.15826643,POINT (8.158266430204774 47.32306326267145),1241604,2741044,10211931,"47.32306326267145,8.158266430204774",, Buchs,5033
2022,905,Oberarigstrasse,as1,Nottwil,1,FEFF058F16AB0108E0430A839427EFE2,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2604606,1219497,SO,2465,2014,6,Juni,juin,Giugno,June,aw407,Sonntag,dimanche,Domenica,Sunday,3,03h-04h,,47.12644313,7.499332556,POINT (7.499332555799586 47.12644313369794),1219497,2653098,10074513,"47.12644313369794,7.499332555799586",, Buchs,5033
