,index,STN_LABEL,AccidentSeverityCategory,COM_NAME,# of accidents,AccidentType,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,latitude,longitude,Punkt,STR_NORTHING,STR_EASTING,STR_ESID,geom,address
2275,290,Quellenweg,as1,Zunzgen,1,at4,FALSE,TRUE,FALSE,rt432,2705563.0,1255450.0,ZH,228,2016,5,aw405,17,47.44137430074343,8.838166845706944,POINT (8.838166845706944 47.44137430074343),1255450.0,2627320.0,10022130.0,"47.44137430074343,8.838166845706944","Tösstalstrasse, Fridtal, Turbenthal, Bezirk Winterthur, Zürich, 8488, Schweiz/Suisse/Svizzera/Svizra"
2276,291,Quellstrasse,as1,Obersiggenthal,1,at8,TRUE,FALSE,FALSE,rt439,2699831.0,1260181.0,ZH,230,2018,11,aw402,9,47.48481344760015,8.76324631445847,POINT (8.76324631445847 47.48481344760015),1260181.0,2664478.0,10180971.0,"47.48481344760015,8.76324631445847","Shopping Seen, Kanzleistrasse, Büelwiesen, Seen, Gotzenwil, Winterthur, Bezirk Winterthur, Zürich, 8405, Schweiz/Suisse/Svizzera/Svizra"
2277,292,Rappitobelweg,as1,Egg,1,at0,FALSE,FALSE,FALSE,rt433,2702247.0,1240861.0,ZH,121,2020,10,aw405,15,47.31070040797984,8.79087932385294,POINT (8.790879323852939 47.31070040797984),1240861.0,2693136.0,10244984.0,"47.31070040797984,8.79087932385294","Bönlerstrasse, Unterwetzikon, Wetzikon (ZH), Bezirk Hinwil, Zürich, 8624, Schweiz/Suisse/Svizzera/Svizra"
2278,293,Rosentaltreppe,as1,Winterthur,1,at6,FALSE,FALSE,FALSE,rt432,2611297.0,1262979.0,BL,2773,2012,1,aw401,6,47.51745647306521,7.588603420202009,POINT (7.588603420202009 47.51745647306521),1262979.0,2696340.0,10248318.0,"47.51745647306521,7.588603420202009","Bruderholzstrasse, Schönenberg, Bottmingen, Bezirk Arlesheim, Basel-Landschaft, 4103, Schweiz/Suisse/Svizzera/Svizra"
2279,294,Romanshornerstrasse,as1,Amriswil,1,at8,TRUE,FALSE,FALSE,rt432,2709060.0,1267887.0,TG,4566,2012,12,aw402,17,47.55264200001234,8.887564179943414,POINT (8.887564179943414 47.55264200001234),1267887.0,2740315.0,10051956.0,"47.55264200001234,8.887564179943414","79, Zürcherstrasse, Hasebüel, Frauenfeld, Neunforn, Bezirk Frauenfeld, Thurgau, 8503, Schweiz/Suisse/Svizzera/Svizra"
2280,295,Rue de la Châtellenie,as1,Bulle,1,at0,FALSE,FALSE,FALSE,rt433,2617124.0,1161810.0,BE,567,2011,10,aw405,19,46.607331160715,7.662150604475209,POINT (7.662150604475209 46.607331160715),1161810.0,2571669.0,10088727.0,"46.607331160715,7.662150604475209","186, Hauptstrasse, Reichenbach im Kandertal, Verwaltungskreis Frutigen-Niedersimmental, Verwaltungsregion Oberland, Bern/Berne, 3714, Schweiz/Suisse/Svizzera/Svizra"
2281,296,Rue de Dessous,as1,Val-de-Ruz,1,at0,FALSE,FALSE,FALSE,rt433,2682906.0,1206673.0,SZ,1311,2014,1,aw405,10,47.00593138082226,8.528843492715529,POINT (8.528843492715529 47.00593138082226),1206673.0,2556239.0,10098362.0,"47.00593138082226,8.528843492715529","Gersau, Schwyz, 6442, Schweiz/Suisse/Svizzera/Svizra"
2282,297,Rue de Graveline,as1,Yverdon-les-Bains,1,at0,FALSE,FALSE,FALSE,rt432,2536089.0,1180184.0,VD,5931,2011,3,aw407,5,46.769757247715766,6.601902996101309,POINT (6.601902996101309 46.76975724771577),1180184.0,2538682.0,10042445.0,"46.769757247715766,6.601902996101309","Route de Treycovagnes, En Crochet, Treycovagnes, District du Jura-Nord vaudois, Vaud, 1436, Schweiz/Suisse/Svizzera/Svizra"
2283,298,Rue de Montchoisy,as1,Genève,1,at3,FALSE,FALSE,TRUE,rt432,2500879.0,1117756.0,GE,6621,2017,6,aw405,2,46.20394255439829,6.154393100248921,POINT (6.154393100248921 46.20394255439829),1117756.0,2501439.0,10041431.0,"46.20394255439829,6.154393100248921","Quai Gustave-Ador, Les Eaux-Vives, Eaux-Vives, Genève, 1207, Schweiz/Suisse/Svizzera/Svizra"
2284,299,Rue de Montcroix,as1,Delémont,1,at8,TRUE,FALSE,FALSE,rt432,2684739.0,1246273.0,ZH,261,2013,7,aw401,9,47.36185434713243,8.560387700285554,POINT (8.560387700285554 47.36185434713243),1246273.0,2592897.0,10053026.0,"47.36185434713243,8.560387700285554","3, Hegibachplatz, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8008, Schweiz/Suisse/Svizzera/Svizra"
2285,300,Rue de Montsalvens,as1,Bulle,1,at3,FALSE,TRUE,FALSE,rt432,2564502.0,1162653.0,FR,2155,2018,10,aw405,6,46.614184607836336,6.975237462339697,POINT (6.975237462339697 46.61418460783634),1162653.0,2570578.0,10089290.0,"46.614184607836336,6.975237462339697","Route de Bulle, Vaulruz, District de la Gruyère, Fribourg/Freiburg, 1627, Schweiz/Suisse/Svizzera/Svizra"
2286,301,Rue de Vermont,as1,Genève,1,at0,FALSE,FALSE,TRUE,rt432,2502739.0,1119377.0,GE,6617,2013,8,aw407,5,46.218794237020695,6.178149955214961,POINT (6.178149955214961 46.2187942370207),1119377.0,2499569.0,10041059.0,"46.218794237020695,6.178149955214961","Quai de Cologny, Cologny, Genève, 1223, Schweiz/Suisse/Svizzera/Svizra"
2287,302,Rue de l'Eglise,as1,Courtételle,1,at0,FALSE,FALSE,FALSE,rt433,2642839.0,1243310.0,SO,2576,2018,9,aw406,22,47.3392592187275,8.005467225669708,POINT (8.005467225669708 47.3392592187275),1243310.0,2590691.0,10053620.0,"47.3392592187275,8.005467225669708","Köllikerstrasse, Kölliken, Bezirk Olten, Bezirk Zofingen, Aargau, 5742, Schweiz/Suisse/Svizzera/Svizra"
2288,303,Rue de l'Envers,as1,Corgémont,1,at0,FALSE,TRUE,FALSE,rt433,2754175.0,1226390.0,SG,3271,2012,12,aw405,23,47.17048983987259,9.47242795188162,POINT (9.47242795188162 47.17048983987259),1226390.0,2577771.0,10005045.0,"47.17048983987259,9.47242795188162","Hanfland, Hanflandstrasse, Buchs (SG), Wahlkreis Werdenberg, Sankt Gallen, 9470, Schweiz/Suisse/Svizzera/Svizra"
2289,304,Rue de l'Est,as1,Reconvilier,1,at0,FALSE,TRUE,FALSE,rt439,2713327.0,1231605.0,SG,3338,2020,8,aw407,17,47.22565161423199,8.935047821188718,POINT (8.935047821188718 47.22565161423199),1231605.0,2584357.0,10004275.0,"47.22565161423199,8.935047821188718","Seepolizei, Strandweg, Goldberg, Schmerikon, Wahlkreis See-Gaster, Sankt Gallen, 8716, Schweiz/Suisse/Svizzera/Svizra"
2290,305,Rue de l'Industrie,as1,Lausanne,1,at3,FALSE,FALSE,TRUE,rt433,2535377.0,1153049.0,VD,5591,2014,12,aw406,3,46.525609219269576,6.59640250934816,POINT (6.59640250934816 46.52560921926958),1153049.0,2538605.0,10093943.0,"46.525609219269576,6.59640250934816","Longemalle, Avenue de Longemalle, Renens, District de l'Ouest lausannois, Vaud, 1020, Schweiz/Suisse/Svizzera/Svizra"
2291,306,Rue de l'Orangerie,as1,Genève,1,at0,FALSE,FALSE,FALSE,rt432,2593076.0,1118913.0,VS,6266,2014,5,aw402,22,46.22162795749788,7.348909798319327,POINT (7.348909798319327 46.22162795749788),1118913.0,2499258.0,10041060.0,"46.22162795749788,7.348909798319327","Rue Traversière, Sion, Valais/Wallis, 1950, Schweiz/Suisse/Svizzera/Svizra"
2292,307,Rue de la Concorde,as1,Le Chenit,1,at0,FALSE,FALSE,FALSE,rt433,2617124.0,1161810.0,BE,567,2011,10,aw405,19,46.607331160715,7.662150604475209,POINT (7.662150604475209 46.607331160715),1161810.0,2508061.0,10104530.0,"46.607331160715,7.662150604475209","186, Hauptstrasse, Reichenbach im Kandertal, Verwaltungskreis Frutigen-Niedersimmental, Verwaltungsregion Oberland, Bern/Berne, 3714, Schweiz/Suisse/Svizzera/Svizra"
2293,308,Rue des Chappuis,as1,Delémont,1,at0,FALSE,FALSE,FALSE,rt430,2647703.0,1245905.0,AG,4012,2018,9,aw406,23,47.3622650190332,8.070100727293717,POINT (8.070100727293717 47.3622650190332),1245905.0,2592695.0,10098935.0,"47.3622650190332,8.070100727293717","A1, Helgenfeld, Suhr, Bezirk Aarau, Aargau, 5034, Schweiz/Suisse/Svizzera/Svizra"
2294,309,Rue de la Débridée,as1,Carouge (GE),1,at8,TRUE,FALSE,FALSE,rt432,2499805.0,1115762.0,GE,6608,2017,12,aw406,17,46.1858485726109,6.140908347872107,POINT (6.140908347872107 46.1858485726109),1115762.0,2499596.0,10048572.0,"46.1858485726109,6.140908347872107","14, Rue Saint-Joseph, Carouge, Genève, 1227, Schweiz/Suisse/Svizzera/Svizra"
2295,310,Rue de la Dîme,as1,Neuchâtel,1,at8,TRUE,FALSE,FALSE,rt432,2573276.0,1206592.0,BE,496,2012,11,aw403,17,47.00983694947798,7.087195919233594,POINT (7.087195919233594 47.00983694947798),1206592.0,2564138.0,10049797.0,"47.00983694947798,7.087195919233594","70, Gampelengasse, Ins, Verwaltungskreis Seeland, Verwaltungsregion Seeland, Bern/Berne, 3232, Schweiz/Suisse/Svizzera/Svizra"
2296,311,Rue de la Gare,as1,Bonfol,1,at0,FALSE,FALSE,FALSE,rt433,2612539.0,1256932.0,BL,2785,2011,12,aw405,9,47.463047919289295,7.604923109927441,POINT (7.604923109927441 47.46304791928929),1256932.0,2578561.0,10100756.0,"47.463047919289295,7.604923109927441","Schloss Angenstein, Aeschstrasse, Duggingen, Bezirk Laufen, Basel-Landschaft, 4202, Schweiz/Suisse/Svizzera/Svizra"
2297,312,Rue de la Gare,as1,Riddes,1,at8,TRUE,FALSE,FALSE,rt433,2702704.0,1113383.0,TI,5115,2013,9,aw401,17,46.164094431830684,8.768352100465712,POINT (8.768352100465712 46.16409443183068),1113383.0,2583060.0,10040695.0,"46.164094431830684,8.768352100465712","Via Emmaus, Losone, Circolo dell'Isole, Distretto di Locarno, Ticino, 6615, Schweiz/Suisse/Svizzera/Svizra"
2298,289,Quellenweg,as1,Uster,1,at2,FALSE,FALSE,TRUE,rt433,2691080.0,1244938.0,ZH,195,2012,9,aw401,18,47.349002569219515,8.64404469199163,POINT (8.644044691991629 47.34900256921951),1244938.0,2695831.0,10148531.0,"47.349002569219515,8.64404469199163","159, Aeschstrasse, Ebmatingen, Maur, Bezirk Uster, Zürich, 8123, Schweiz/Suisse/Svizzera/Svizra"
2299,287,Quai-Anlagen,as1,Küssnacht (SZ),1,at0,FALSE,FALSE,FALSE,rt430,2679303.0,1214963.0,SZ,1331,2015,8,aw405,17,47.08093389968668,8.482920392351643,POINT (8.482920392351643 47.08093389968668),1214963.0,2675848.0,10223224.0,"47.08093389968668,8.482920392351643","A4, Immensee, Küssnacht (SZ), Küssnacht, Schwyz, 6405, Schweiz/Suisse/Svizzera/Svizra"
